1612137600.0,0.01982900,0.01985300,0.01892800,0.01924500,61411560.00000000,1612151999999,1186270.95255800,5541,28636418.00000000,553431.71225700,0
1612152000.0,0.01924600,0.01982300,0.01890100,0.01910100,68189823.00000000,1612166399999,1317076.90303900,6089,33792730.00000000,654370.04930000,0
1612166400.0,0.01914400,0.02045000,0.01900000,0.01994400,97780286.00000000,1612180799999,1903470.68624700,9545,48265691.00000000,942415.96429200,0
1612180800.0,0.01994600,0.02080000,0.01947800,0.02037800,128143128.00000000,1612195199999,2583670.78269300,11113,68276833.00000000,1377381.54435100,0
1612195200.0,0.02035200,0.02250000,0.02020000,0.02184100,291566313.00000000,1612209599999,6286873.31659000,23190,173752687.00000000,3752559.33871300,0
1612209600.0,0.02186500,0.02225000,0.02137800,0.02178100,117747455.00000000,1612223999999,2556240.22025300,10849,64935551.00000000,1411229.69856100,0
1612224000.0,0.02178100,0.02469100,0.02166100,0.02175700,471242139.00000000,1612238399999,10917977.09177200,30914,249707425.00000000,5802153.40999800,0
1612238400.0,0.02175700,0.02696000,0.02175600,0.02540500,457173986.00000000,1612252799999,11372253.77189700,35005,242061990.00000000,6026589.23796200,0
1612252800.0,0.02546900,0.02666200,0.02363400,0.02409100,519609182.00000000,1612267199999,12983072.06585600,40292,251358063.00000000,6298735.98927100,0
1612267200.0,0.02408500,0.02490000,0.02274200,0.02347400,423171684.00000000,1612281599999,10064985.47444100,30155,200979182.00000000,4792482.37347100,0
1612281600.0,0.02347400,0.02460000,0.02240000,0.02350100,244425408.00000000,1612295999999,5722430.05943100,22467,119138244.00000000,2799931.31019400,0
1612296000.0,0.02349700,0.02585900,0.02302800,0.02537900,209983446.00000000,1612310399999,5170351.74491600,19362,116691809.00000000,2880390.90505800,0
1612310400.0,0.02537900,0.02880000,0.02419900,0.02750000,350029382.00000000,1612324799999,9396504.36641100,29264,204564928.00000000,5498347.04230600,0
1612324800.0,0.02760000,0.02899900,0.02661300,0.02830700,249855492.00000000,1612339199999,7012866.92191900,20629,123868513.00000000,3479645.01782100,0
1612339200.0,0.02831100,0.02970000,0.02633700,0.02863900,350549081.00000000,1612353599999,9892894.44160600,27088,188931788.00000000,5336340.92278600,0
1612353600.0,0.02863600,0.02961000,0.02752600,0.02879800,269966890.00000000,1612367999999,7672917.71003500,23465,142053559.00000000,4041765.89910500,0
1612368000.0,0.02879800,0.03063200,0.02800000,0.02875000,332962487.00000000,1612382399999,9746589.77482000,30699,191144619.00000000,5613819.96817500,0
1612382400.0,0.02874900,0.03100000,0.02853500,0.02989200,256339919.00000000,1612396799999,7668726.10882500,22504,136517187.00000000,4092596.88672700,0
1612396800.0,0.02987600,0.03071000,0.02710100,0.02725000,213223990.00000000,1612411199999,6204296.96887900,17756,99419598.00000000,2898117.35677600,0
1612411200.0,0.02730400,0.02874000,0.02650600,0.02668600,320048616.00000000,1612425599999,8817976.65540800,23840,160911578.00000000,4438334.68787800,0
1612425600.0,0.02670000,0.02805500,0.02540000,0.02734300,385812359.00000000,1612439999999,10367274.47138500,28132,183323533.00000000,4940778.82967500,0
1612440000.0,0.02734100,0.02777000,0.02600000,0.02703700,224761152.00000000,1612454399999,6075637.69645200,17628,110651575.00000000,2996132.20956500,0
1612454400.0,0.02703700,0.02828100,0.02634600,0.02770000,226221426.00000000,1612468799999,6187596.41194700,19278,123941013.00000000,3398285.41031900,0
1612468800.0,0.02769000,0.02899900,0.02729900,0.02777900,264933361.00000000,1612483199999,7470090.58194000,21651,154443901.00000000,4355623.29814600,0
1612483200.0,0.02782200,0.02840000,0.02700000,0.02787100,185178609.00000000,1612497599999,5107086.12514800,15535,96376677.00000000,2661813.01877500,0
1612497600.0,0.02789500,0.02895000,0.02760600,0.02849800,200185423.00000000,1612511999999,5686541.27155000,16886,111988924.00000000,3182555.47953600,0
1612512000.0,0.02843000,0.02885700,0.02785100,0.02859600,197665656.00000000,1612526399999,5578642.50565200,17047,99657899.00000000,2815970.17689400,0
1612526400.0,0.02859700,0.03072000,0.02802000,0.03016200,305173997.00000000,1612540799999,8808033.80316800,23163,177351902.00000000,5135754.01638100,0
1612540800.0,0.03016200,0.03200000,0.02856800,0.02904200,559114728.00000000,1612555199999,16928850.52610100,41946,322941133.00000000,9809728.40621300,0
1612555200.0,0.02904000,0.03029600,0.02857900,0.03019400,212808828.00000000,1612569599999,6225227.78712800,18802,112408346.00000000,3294586.43543500,0
1612569600.0,0.03019500,0.03025000,0.02622000,0.02673900,302545235.00000000,1612583999999,8434695.06740600,26761,131605307.00000000,3675574.25452700,0
1612584000.0,0.02673300,0.02849000,0.02602000,0.02802000,215682311.00000000,1612598399999,5797668.67315700,18684,100445867.00000000,2705277.90857700,0
1612598400.0,0.02802000,0.02900000,0.02650000,0.02720900,279321644.00000000,1612612799999,7823971.57293100,23654,133434268.00000000,3747653.64788100,0
1612612800.0,0.02720800,0.02781200,0.02640000,0.02700200,193774556.00000000,1612627199999,5246699.28673800,17304,93257523.00000000,2527588.13387100,0
1612627200.0,0.02700200,0.03000000,0.02673000,0.02821300,343391280.00000000,1612641599999,9763559.38210500,29460,188871467.00000000,5385912.06662300,0
1612641600.0,0.02819400,0.02956900,0.02780600,0.02812900,177570022.00000000,1612655999999,5077700.77129000,17076,90909274.00000000,2604969.04201200,0
1612656000.0,0.02815900,0.02850300,0.02648900,0.02757900,177737202.00000000,1612670399999,4874123.86462700,15374,85232150.00000000,2341224.95045300,0
